asn,org,country,vpn_signals,tor_signals,public_feed_overlap,confidence,sources
719,Elisa Oyj,FI,0,5,1,low,tor-radar-network
1267,WIND TRE S.P.A.,IT,0,5,1,low,tor-radar-network
2527,Sony Network Communications Inc.,JP,0,5,1,low,tor-radar-network
3790,RADIOGRAFICA COSTARRICENSE,CR,3,2,2,low,"asn-vpn-multi-provider,tor-radar-network"
6167,Verizon Business,US,0,5,1,low,tor-radar-network
6327,Shaw Communications,CA,0,4,2,low,"bad-cidrs-v4,tor-radar-network"
6871,British Telecommunications PLC,GB,0,5,1,low,tor-radar-network
7203,LEASEWEB-USA-SFO,US,5,0,1,low,asn-vpn-multi-provider
7545,TPG Internet Pty Ltd,AU,0,5,1,low,tor-radar-network
8280,SYNAPSECOM-AS SYNAPSECOM TELECOMS S.A.,GR,5,0,1,low,asn-vpn-multi-provider
8434,Telenor Sverige AB,SE,0,5,1,low,tor-radar-network
8648,dogado GmbH,CZ,0,5,1,low,tor-radar-network
8758,Iway AG,CH,0,5,1,low,tor-radar-network
8849,MELBICOM-EU-AS Melbikomas UAB,LT,3,2,2,low,"asn-vpn-multi-provider,tor-radar-network"
9299,Philippine Long Distance Telephone Co.,PH,0,5,1,low,tor-radar-network
10796,Charter Communications Inc,US,0,5,1,low,tor-radar-network
12312,ecotel communication ag,DE,0,5,1,low,tor-radar-network
13037,Zen Internet Ltd,GB,0,5,1,low,tor-radar-network
15435,DELTA Fiber Nederland B.V.,NL,0,5,1,low,tor-radar-network
16247,"M247-UK M247 UK Ltd, trading as M247",GB,5,0,1,low,asn-vpn-multi-provider
18978,ENZUINC-,US,5,0,1,low,asn-vpn-multi-provider
22927,Telefonica de Argentina,AR,0,5,1,low,tor-radar-network
27747,Telecentro S.A.,AR,0,5,1,low,tor-radar-network
30083,AS-30083-US-VELIA-NET,DE,4,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
30600,Metronet,US,0,5,1,low,tor-radar-network
30722,Fastweb SpA,IT,0,5,1,low,tor-radar-network
30900,WEBWORLD-AS ta Web World Ireland,IE,5,0,1,low,asn-vpn-multi-provider
36351,SOFTLAYER,US,4,0,2,low,"asn-vpn-multi-provider,bad-cidrs-v4"
39642,Sinal A/S,DK,0,5,1,low,tor-radar-network
40156,THEOPT-HOU,US,5,0,1,low,asn-vpn-multi-provider
40994,Hohl IT e.U.,AT,0,5,1,low,tor-radar-network
42422,SECURITYNET-AS,CZ,5,0,1,low,asn-vpn-multi-provider
44901,Belcloud LTD,BG,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
46261,QUICKPACKET,US,3,0,2,low,"asn-vpn-multi-provider,bad-cidrs-v4"
47987,DELTAHOST-KYIV,UA,4,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
49372,w1n ltd,MY,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
50066,Serious Tubes Networks,SE,0,5,1,low,tor-radar-network
50360,Tamatiya EOOD,BG,0,4,2,low,"bad-cidrs-v4,tor-radar-network"
50673,Serverius Holding B.V.,NL,0,5,1,low,tor-radar-network
